tN,N,nS,Phi_avg,Phi_min,Bmax,lam,kappa,opt_time,opt_calls,status
400,500,1,45.8,45.8,0.19,1.00E+00,3,32,,
400,500,1,45.8,45.8,0.19,0.00E+00,1.00E+00,3,32,
100,182,1,8.7,8.7,1.95,1.00E+07,1.00E+02,3,73,
200,363,1,98.4,98.4,0.74,1.00E+07,1.00E+02,3,43,
300,544,1,20.3,20.3,0.95,1.00E+07,1.00E+02,5,49,
100,182,1,8.7,8.7,1.95,1.00E+07,1.00E+02,3,73,
200,363,1,98.4,98.4,0.74,1.00E+07,1.00E+02,3,43,
100,182,1,8.7,8.7,1.95,1.00E+07,1.00E+02,3,73, C
200,363,1,98.4,98.4,0.74,1.00E+07,1.00E+02,3,43, TO
100,182,1,8.7,8.7,1.95,1.00E+07,1.00E+02,3,73, C
200,363,1,98.4,98.4,0.74,1.00E+07,1.00E+02,3,43, TO
100,182,1,8.7,8.7,1.95,1.00E+07,1.00E+02,3,73, C
100,182,1,8.7,8.7,1.95,1.00E+07,1.00E+02,3,73, C
100,182,2,19.6,11.7,3.79,1.00E+07,1.00E+02,2,47, C
800,2023,9,99.7,99.2,0.96,1.00E+07,1.00E+02,45,83, SF
500,1265,9,99.4,98.6,6.3,1.00E+07,1.00E+02,54,150, C
500,1265,10,99.4,98,2.58,1.00E+07,1.00E+02,65,178, C
500,1265,11,99.7,99,2.13,1.00E+07,1.00E+02,62,180, SF
500,1265,12,98.4,95.2,3.52,1.00E+07,1.00E+02,73,209, C
500,1265,13,97.3,90.5,3.05,1.00E+07,1.00E+02,91,242, C
500,1265,14,99.7,99.1,2.55,1.00E+07,1.00E+02,115,302, SF
520,1315,9,99.5,99.1,1.07,1.00E+07,1.00E+02,37,99, SF
600,1518,9,99.7,99.2,1.27,1.00E+07,1.00E+02,55,131, SF
600,1518,10,99.8,99.1,1.34,1.00E+07,1.00E+02,87,205, SF
600,1518,11,99.7,99.1,1.31,1.00E+07,1.00E+02,87,216, SF
600,1518,12,99.7,99.1,1.17,1.00E+07,1.00E+02,88,216, SF
600,1518,13,99.8,99,2.12,1.00E+07,1.00E+02,127,290, SF
600,1518,14,99.8,99.1,1.76,1.00E+07,1.00E+02,73,165, SF
700,1770,15,98.8,90.8,5.1,1.00E+07,1.00E+02,1667,3025, C
700,1770,20,96.4,79.2,1.6,1.00E+07,1.00E+02,160,297, C
700,1770,25,94.5,65.5,3.07,1.00E+07,1.00E+02,144,227, C
700,1770,30,98.5,93.2,10.01,1.00E+07,1.00E+02,143,206, C
800,2023,15,99.8,99,2.69,1.00E+07,1.00E+02,175,312, SF
800,2023,15,99.8,99,2.69,1.00E+07,1.00E+02,179,312, SF
800,2023,20,97.1,68.1,4,1.00E+07,1.00E+02,1321,1975, C
800,2023,25,95.3,67.9,4.33,1.00E+07,1.00E+02,180,254, C
800,2023,30,98.6,82.3,3.17,1.00E+07,1.00E+02,1801,2431, TO
900,2276,15,97.5,93.9,21.98,1.00E+07,1.00E+02,84,124, C
900,2276,20,97.4,73.4,2.91,1.00E+07,1.00E+02,242,321, C
900,2276,25,99.1,84.6,3,1.00E+07,1.00E+02,1476,1868, C
900,2276,30,99.5,93.9,2.37,1.00E+07,1.00E+02,959,1134, C
1000,2529,15,99.9,99,1.81,1.00E+07,1.00E+02,185,253, SF
1000,2529,20,99.9,99,2.71,1.00E+07,1.00E+02,743,896, SF
1000,2529,25,97.8,77.9,1.31,1.00E+07,1.00E+02,403,459, C
1000,2529,30,94.5,57.8,1.38,1.00E+07,1.00E+02,271,288, C
1100,2782,15,99.8,99,2.11,1.00E+07,1.00E+02,165,200, SF
1100,2782,20,99.9,99,2.2,1.00E+07,1.00E+02,373,409, SF
1100,2782,25,99.9,99,1.7,1.00E+07,1.00E+02,701,715, SF
1100,2782,30,99.8,97.7,1.95,1.00E+07,1.00E+02,1152,1121, C
1200,3035,15,99.8,98.9,4.97,1.00E+07,1.00E+02,177,200, C
1200,3035,20,99.7,97.4,1.44,1.00E+07,1.00E+02,1801,1832, TO
1200,3035,25,98.9,93.5,21.52,1.00E+07,1.00E+02,246,209, C
1200,3035,30,99.9,98.7,1.34,1.00E+07,1.00E+02,474,422, C
1300,3288,15,99.7,99,4.78,1.00E+07,1.00E+02,139,145, SF
1300,3288,20,99.8,99,2.05,1.00E+07,1.00E+02,1226,1120, SF
1300,3288,25,99.8,99,2.4,1.00E+07,1.00E+02,288,248, SF
1300,3288,30,99.5,97.6,22.99,1.00E+07,1.00E+02,332,249, C
1400,3540,15,99.9,99,0.53,1.00E+07,1.00E+02,229,223, SF
1400,3540,20,99.9,99,0.69,1.00E+07,1.00E+02,388,329, SF
1400,3540,25,99.9,99,1.01,1.00E+07,1.00E+02,331,266, SF
1400,3540,30,99.9,99,1.04,1.00E+07,1.00E+02,1016,735, SF
1500,3793,15,99.8,99.1,0.42,1.00E+07,1.00E+02,184,166, SF
1500,3793,20,99.8,99,0.66,1.00E+07,1.00E+02,354,280, SF
1500,3793,25,99.8,99.1,0.79,1.00E+07,1.00E+02,347,261, SF
1500,3793,30,99.9,99.1,0.88,1.00E+07,1.00E+02,285,193, SF
1600,4046,15,99.9,99.1,0.47,1.00E+07,1.00E+02,182,155, SF
1600,4046,20,99.7,97.4,2.15,1.00E+07,1.00E+02,431,319, C
1600,4046,25,97.4,62.3,7.54,1.00E+07,1.00E+02,339,235, C
1600,4046,30,99.9,99,0.74,1.00E+07,1.00E+02,473,297, SF
1700,4299,15,99.6,96.9,2.26,1.00E+07,1.00E+02,213,164, C
1700,4299,20,99.9,99.1,1.07,1.00E+07,1.00E+02,366,253, SF
1700,4299,25,99.4,95.9,2.78,1.00E+07,1.00E+02,429,268, C
1700,4299,30,99.8,97.4,2.95,1.00E+07,1.00E+02,743,436, C
1800,4552,15,99.8,99.1,12.2,1.00E+07,1.00E+02,179,126, SF
1300,3288,40,97,37.2,9.6,1.00E+07,1.00E+02,278,188, C
1300,3288,45,99.8,98.8,2.5,1.00E+07,1.00E+02,1801,1193, TO
1300,3288,50,98.6,57.6,2.93,1.00E+07,1.00E+02,1800,1098, TO
1400,3540,40,99.4,87.2,1.85,1.00E+07,1.00E+02,1800,1175, TO
1400,3540,45,99.9,99,1.3,1.00E+07,1.00E+02,698,435, SF
1400,3540,50,99.9,99,1.34,1.00E+07,1.00E+02,789,451, SF
1500,3793,40,99.9,99,1.07,1.00E+07,1.00E+02,499,304, SF
1400,3540,55,99.9,99,1.82,1.00E+07,1.00E+02,1224,695, SF
1400,3540,60,99.9,99,1.8,1.00E+07,1.00E+02,1192,647, SF
1500,3793,55,99.6,91.5,2.37,1.00E+07,1.00E+02,2406,1274, TO
1500,3793,60,99.7,94.5,1.94,1.00E+07,1.00E+02,2400,1234, TO
1600,4046,55,99.9,99,1.3,1.00E+07,1.00E+02,901,447, SF
1600,4046,60,100,99,1.41,1.00E+07,1.00E+02,1289,620, SF
1700,4299,55,99.5,86.1,14.34,1.00E+07,1.00E+02,1796,822, C
1700,4299,60,99.9,97.5,3.61,1.00E+07,1.00E+02,20686,931, TO
100, 182, 1, 8.7, 8.7, 1.95, 1e+07, 1e+02, 3, 70, C
100, 182, 2, 24.9, 15.7, 3.77, 1e+07, 1e+02, 2, 41, C
100, 253, 3, 22.8, 4.7, 3.54, 1e+07, 1e+02, 4, 63, C
100, 253, 4, 6.7, 2.1, 7.10, 1e+07, 1e+02, 4, 54, C
100, 182, 1, 99.0, 99.0, 1.76, 1e+07, 1e+00, 2, 54, SF
